date	ouv	haut	bas	clot	vol	devise	
24/01/2023 00:00	12.12	12.21	11.675	11.675	1040246	EUR	
25/01/2023 00:00	11.85	11.9	11.415	11.485	1330163	EUR	
26/01/2023 00:00	11.58	11.95	11.565	11.825	870022	EUR	
27/01/2023 00:00	11.9	12.09	11.685	11.99	724191	EUR	
30/01/2023 00:00	11.97	11.97	11.705	11.88	588508	EUR	
31/01/2023 00:00	11.8	12.11	11.695	12.06	1049094	EUR	
01/02/2023 00:00	12.04	12.36	11.98	12.18	798185	EUR	
02/02/2023 00:00	12.52	13.17	12.47	13.17	2327378	EUR	
03/02/2023 00:00	13.03	13.03	12.6	12.69	1186840	EUR	
06/02/2023 00:00	12.42	12.6	12.16	12.18	1094771	EUR	
07/02/2023 00:00	12.16	12.29	11.97	12.28	598613	EUR	
08/02/2023 00:00	12.4	12.61	12.29	12.45	938108	EUR	
09/02/2023 00:00	12.55	12.6	12.345	12.4	644226	EUR	
10/02/2023 00:00	12.235	12.375	11.785	12.005	1066899	EUR	
13/02/2023 00:00	11.905	12.04	11.75	11.995	625902	EUR	
14/02/2023 00:00	12.03	12.03	11.795	11.925	688480	EUR	
15/02/2023 00:00	11.9	11.915	11.67	11.805	520435	EUR	
16/02/2023 00:00	12.95	13.53	12.555	13.53	3547610	EUR	
17/02/2023 00:00	13.4	14.16	13.07	13.855	2655538	EUR	
20/02/2023 00:00	13.89	14.01	13.52	13.69	1392456	EUR	
21/02/2023 00:00	13.51	13.625	12.83	12.895	1687725	EUR	
22/02/2023 00:00	12.76	13.155	12.565	13.045	986704	EUR	
23/02/2023 00:00	13.125	13.385	12.95	13.025	694230	EUR	
24/02/2023 00:00	13.11	13.165	12.505	12.7	1139351	EUR	
27/02/2023 00:00	12.57	13.525	12.56	13.34	1408983	EUR	
28/02/2023 00:00	13.405	13.595	13.15	13.44	982767	EUR	
01/03/2023 00:00	14.07	14.995	14.005	14.115	3797070	EUR	
02/03/2023 00:00	13.84	14.33	13.65	14.14	1626762	EUR	
03/03/2023 00:00	14.23	14.34	13.9	14.045	1064210	EUR	
06/03/2023 00:00	14.53	15.39	14.51	15.105	3245624	EUR	
07/03/2023 00:00	15.05	15.76	14.835	15.29	1890267	EUR	
08/03/2023 00:00	15.185	15.65	15.025	15.185	1286838	EUR	
09/03/2023 00:00	15.07	15.35	14.88	15.215	979743	EUR	
10/03/2023 00:00	14.8	14.9	14.555	14.8	1542947	EUR	
13/03/2023 00:00	14.56	14.785	13.785	14.37	2197221	EUR	
14/03/2023 00:00	14.35	14.695	14.125	14.65	1057148	EUR	
15/03/2023 00:00	14.65	14.65	13.44	13.68	1969738	EUR	
16/03/2023 00:00	14.1	14.14	13.455	13.7	1296468	EUR	
17/03/2023 00:00	13.81	14.015	12.99	12.99	3048587	EUR	
20/03/2023 00:00	12.785	13.055	12.12	12.9	1554122	EUR	
21/03/2023 00:00	13.2	13.695	13.18	13.525	1057314	EUR	
22/03/2023 00:00	13.685	13.87	13.585	13.725	766726	EUR	
23/03/2023 00:00	13.6	13.795	13.47	13.685	560993	EUR	
24/03/2023 00:00	13.62	13.675	13.09	13.285	867663	EUR	
27/03/2023 00:00	13.53	13.55	12.39	12.5	1216567	EUR	
28/03/2023 00:00	12.73	12.965	12.66	12.865	717012	EUR	
29/03/2023 00:00	12.37	12.435	10.46	10.71	6599021	EUR	
30/03/2023 00:00	10.675	11.3	10.6	11.29	2187587	EUR	
31/03/2023 00:00	11.28	11.41	10.945	11.39	934322	EUR	
03/04/2023 00:00	11.44	11.6	11.3	11.495	784821	EUR	
04/04/2023 00:00	11.505	11.835	11.36	11.495	1035704	EUR	
05/04/2023 00:00	11.4	11.585	11.085	11.18	871226	EUR	
06/04/2023 00:00	11.05	11.25	10.71	11.175	837289	EUR	
11/04/2023 00:00	11.215	11.395	11.095	11.19	762771	EUR	
12/04/2023 00:00	11.25	11.3	10.855	10.95	1050124	EUR	
13/04/2023 00:00	10.91	11.43	10.82	11.4	1299875	EUR	
14/04/2023 00:00	11.25	11.47	11.115	11.36	691368	EUR	
17/04/2023 00:00	11.245	11.89	11.2	11.61	1209613	EUR	
18/04/2023 00:00	11.57	11.67	11.455	11.505	493312	EUR	
19/04/2023 00:00	11.79	11.79	11.345	11.495	750070	EUR	
20/04/2023 00:00	11.445	11.445	10.99	11.04	772726	EUR	
21/04/2023 00:00	11.04	11.21	10.95	11.21	797095	EUR	
24/04/2023 00:00	11.15	11.28	10.925	10.925	503586	EUR	
25/04/2023 00:00	10.9	11.005	10.625	10.895	791632	EUR	
26/04/2023 00:00	10.87	11.285	10.675	11.265	765314	EUR	
27/04/2023 00:00	11.7	11.725	11.125	11.725	1364701	EUR	
28/04/2023 00:00	11.75	12.565	11.69	12.535	1747525	EUR	
02/05/2023 00:00	12.6	12.89	12.41	12.44	963553	EUR	
03/05/2023 00:00	12.375	12.625	12.145	12.57	709460	EUR	
04/05/2023 00:00	12.65	12.67	11.83	12.185	1174843	EUR	
05/05/2023 00:00	12.36	12.7	12.21	12.67	782390	EUR	
08/05/2023 00:00	12.67	12.685	12.51	12.615	195000	EUR	
09/05/2023 00:00	12.51	12.57	12.25	12.54	483498	EUR	
10/05/2023 00:00	12.605	12.605	12.36	12.46	399846	EUR	
11/05/2023 00:00	12.47	12.86	12.44	12.58	585698	EUR	
12/05/2023 00:00	12.5	12.55	12.285	12.515	558644	EUR	
