date	ouv	haut	bas	clot	vol	devise	
14/11/2022 00:00	13.42	13.58	13	13.02	27387	EUR	
15/11/2022 00:00	13	13.01	12.61	12.9	35767	EUR	
16/11/2022 00:00	12.9	12.9	12.59	12.77	18934	EUR	
17/11/2022 00:00	12.8	12.8	12.48	12.55	15585	EUR	
18/11/2022 00:00	12.53	12.74	12.42	12.67	16372	EUR	
21/11/2022 00:00	12.95	13.43	12.8	13.04	73346	EUR	
22/11/2022 00:00	13.16	13.38	12.91	13.1	38040	EUR	
23/11/2022 00:00	13.18	13.96	13.18	13.9	81059	EUR	
24/11/2022 00:00	14	14.83	14	14.34	105819	EUR	
25/11/2022 00:00	14.3	15	14.13	14.84	69054	EUR	
28/11/2022 00:00	14.92	15.59	14.73	14.73	110667	EUR	
29/11/2022 00:00	14.75	14.75	14.16	14.21	47122	EUR	
30/11/2022 00:00	14.36	14.37	13.96	14.13	29490	EUR	
01/12/2022 00:00	14.24	14.57	14.05	14.26	27246	EUR	
02/12/2022 00:00	14.26	14.5	13.85	14.11	34551	EUR	
05/12/2022 00:00	14.12	14.28	13.84	13.85	29085	EUR	
06/12/2022 00:00	13.86	13.92	13.33	13.42	44041	EUR	
07/12/2022 00:00	13.38	13.45	13.1	13.1	39358	EUR	
08/12/2022 00:00	10.8	11.18	10.72	10.8	1079949	EUR	
09/12/2022 00:00	10.92	11	10.62	10.64	250401	EUR	
12/12/2022 00:00	10.62	10.62	10.3	10.36	123022	EUR	
