date	ouv	haut	bas	clot	vol	devise	
19/01/2023 00:00	11.69	11.75	11.43	11.64	50133	EUR	
20/01/2023 00:00	11.74	12.01	11.64	11.95	45138	EUR	
23/01/2023 00:00	12.1	12.21	11.76	11.88	79325	EUR	
24/01/2023 00:00	11.94	12.09	11.01	11.48	260634	EUR	
25/01/2023 00:00	11.5	11.65	11.08	11.24	74052	EUR	
26/01/2023 00:00	11.26	11.33	11.07	11.22	34036	EUR	
27/01/2023 00:00	11.26	11.43	11	11.01	66831	EUR	
30/01/2023 00:00	11	11.01	10.55	10.65	94847	EUR	
31/01/2023 00:00	10.58	10.6	10.41	10.54	52493	EUR	
01/02/2023 00:00	10.54	10.86	10.54	10.75	25254	EUR	
02/02/2023 00:00	10.82	11.01	10.81	10.9	43468	EUR	
03/02/2023 00:00	10.9	10.96	10.76	10.82	34334	EUR	
06/02/2023 00:00	10.8	10.82	10.55	10.7	36482	EUR	
07/02/2023 00:00	10.6	10.66	10.35	10.39	58734	EUR	
08/02/2023 00:00	10.45	10.46	10.33	10.33	24981	EUR	
09/02/2023 00:00	10.35	10.44	10.12	10.12	42174	EUR	
10/02/2023 00:00	10.1	10.66	9.825	10.46	118897	EUR	
13/02/2023 00:00	10.5	10.5	10.2	10.22	17897	EUR	
14/02/2023 00:00	10.22	10.3	10.13	10.22	22477	EUR	
15/02/2023 00:00	10.22	10.36	10.15	10.28	24829	EUR	
16/02/2023 00:00	10.35	10.46	10.22	10.34	21587	EUR	
17/02/2023 00:00	10.35	10.58	10.28	10.55	32234	EUR	
20/02/2023 00:00	10.5	10.54	10.4	10.49	15901	EUR	
21/02/2023 00:00	10.47	10.56	10.26	10.3	24121	EUR	
22/02/2023 00:00	10.28	10.43	10.01	10.1	51436	EUR	
23/02/2023 00:00	10.15	10.35	10.06	10.08	45692	EUR	
24/02/2023 00:00	10	10.23	10	10.02	32962	EUR	
27/02/2023 00:00	10.03	10.13	9.925	9.995	44030	EUR	
28/02/2023 00:00	9.995	10	9.9	9.91	41429	EUR	
01/03/2023 00:00	9.91	9.93	8.95	9.22	219316	EUR	
02/03/2023 00:00	9.24	9.65	9.16	9.39	53249	EUR	
03/03/2023 00:00	9.45	9.63	9.31	9.495	36666	EUR	
06/03/2023 00:00	9.7	9.92	9.59	9.805	50905	EUR	
07/03/2023 00:00	9.88	9.88	9.47	9.55	52169	EUR	
08/03/2023 00:00	9.5	9.515	9.13	9.245	75199	EUR	
09/03/2023 00:00	9.255	9.4	9	9.07	77444	EUR	
10/03/2023 00:00	9.07	9.09	8.385	8.975	198066	EUR	
13/03/2023 00:00	9	9.015	8.55	8.8	47402	EUR	
