date	ouv	haut	bas	clot	vol	devise	
25/01/2023 00:00	13.12	13.15	12.984	13.104	5381659	EUR	
26/01/2023 00:00	13.16	13.206	12.952	13.072	5848081	EUR	
27/01/2023 00:00	13.068	13.118	12.922	12.996	5186330	EUR	
30/01/2023 00:00	12.996	13.034	12.884	12.972	3784922	EUR	
31/01/2023 00:00	12.97	13.042	12.872	13.02	5761592	EUR	
01/02/2023 00:00	13.06	13.176	12.996	13.152	5894306	EUR	
02/02/2023 00:00	13.162	13.248	12.912	12.912	7742563	EUR	
03/02/2023 00:00	12.966	13.096	12.858	13.096	5942379	EUR	
06/02/2023 00:00	13.094	13.134	12.964	13.03	3543359	EUR	
07/02/2023 00:00	13.066	13.07	12.78	12.842	5743365	EUR	
08/02/2023 00:00	12.888	13.138	12.856	13.092	5803035	EUR	
09/02/2023 00:00	13.148	13.17	13.032	13.08	3998680	EUR	
10/02/2023 00:00	13.05	13.206	13.028	13.206	5926140	EUR	
13/02/2023 00:00	13.232	13.282	13.12	13.13	4558867	EUR	
14/02/2023 00:00	13.186	13.332	13.162	13.24	5556114	EUR	
15/02/2023 00:00	13.248	13.354	13.212	13.288	6068290	EUR	
16/02/2023 00:00	13.34	13.472	13.286	13.374	5637716	EUR	
17/02/2023 00:00	13.358	13.528	13.264	13.5	6209708	EUR	
20/02/2023 00:00	13.512	13.64	13.49	13.594	5496119	EUR	
21/02/2023 00:00	14.28	14.386	14.04	14.25	12268604	EUR	
22/02/2023 00:00	14.28	14.302	13.994	14.088	8787512	EUR	
23/02/2023 00:00	14.07	14.214	14.05	14.14	5188078	EUR	
24/02/2023 00:00	14.112	14.176	14.002	14.02	6075052	EUR	
27/02/2023 00:00	14.026	14.09	13.964	13.964	5178976	EUR	
28/02/2023 00:00	13.896	14.046	13.836	13.836	9289534	EUR	
01/03/2023 00:00	13.89	13.89	13.57	13.602	7056920	EUR	
02/03/2023 00:00	13.546	13.79	13.486	13.764	6846569	EUR	
03/03/2023 00:00	13.858	13.962	13.838	13.862	5029981	EUR	
06/03/2023 00:00	13.96	14.046	13.936	14.006	6531998	EUR	
07/03/2023 00:00	14.016	14.21	14.008	14.066	7591419	EUR	
08/03/2023 00:00	14.05	14.134	14.002	14.134	3962284	EUR	
09/03/2023 00:00	14.15	14.176	14.024	14.1	6158717	EUR	
10/03/2023 00:00	14.002	14.164	14	14.102	6444543	EUR	
13/03/2023 00:00	14.1	14.104	13.816	13.912	10749544	EUR	
14/03/2023 00:00	13.886	14.126	13.852	14.072	8324557	EUR	
15/03/2023 00:00	14.062	14.144	13.558	13.56	12937248	EUR	
16/03/2023 00:00	13.732	13.862	13.636	13.776	10509973	EUR	
17/03/2023 00:00	13.79	13.818	13.364	13.432	12989586	EUR	
20/03/2023 00:00	13.36	13.676	13.136	13.566	7087933	EUR	
21/03/2023 00:00	13.672	13.934	13.652	13.854	7313789	EUR	
22/03/2023 00:00	13.902	13.998	13.852	13.884	5014727	EUR	
23/03/2023 00:00	13.86	13.952	13.748	13.9	5231229	EUR	
24/03/2023 00:00	13.816	13.828	13.534	13.574	7641172	EUR	
27/03/2023 00:00	13.71	13.952	13.706	13.844	5411663	EUR	
28/03/2023 00:00	13.906	13.948	13.846	13.926	3907749	EUR	
29/03/2023 00:00	13.978	14.266	13.952	14.214	5472028	EUR	
30/03/2023 00:00	14.282	14.598	14.262	14.558	6844317	EUR	
31/03/2023 00:00	14.55	14.672	14.528	14.574	10450966	EUR	
03/04/2023 00:00	14.6	14.744	14.574	14.67	4193844	EUR	
04/04/2023 00:00	14.696	14.884	14.668	14.75	5929111	EUR	
05/04/2023 00:00	14.776	14.98	14.748	14.926	6264902	EUR	
06/04/2023 00:00	14.958	15.21	14.942	15.066	6274651	EUR	
