date	ouv	haut	bas	clot	vol	devise	
24/08/2022 00:00	9.42	9.6	9.26	9.538	274693	EUR	
25/08/2022 00:00	9.632	9.65	9.396	9.606	138183	EUR	
26/08/2022 00:00	9.52	9.59	9.252	9.252	171738	EUR	
29/08/2022 00:00	9.3	9.65	9.2	9.216	269606	EUR	
30/08/2022 00:00	9.2	9.366	9.17	9.288	185770	EUR	
31/08/2022 00:00	9.294	9.34	9.106	9.168	220109	EUR	
01/09/2022 00:00	9.12	9.12	8.208	8.324	793735	EUR	
02/09/2022 00:00	8.4	8.576	8.32	8.324	367879	EUR	
05/09/2022 00:00	8.18	8.2	7.8	7.96	517431	EUR	
06/09/2022 00:00	8.04	8.318	8.02	8.144	312275	EUR	
07/09/2022 00:00	8.108	8.426	8.012	8.32	320216	EUR	
08/09/2022 00:00	8.4	8.546	8.126	8.482	302095	EUR	
09/09/2022 00:00	8.5	8.674	8.444	8.646	214384	EUR	
12/09/2022 00:00	8.75	8.78	8.506	8.644	241088	EUR	
13/09/2022 00:00	8.65	8.77	8.368	8.368	255051	EUR	
14/09/2022 00:00	8.3	8.47	8.21	8.4	176193	EUR	
15/09/2022 00:00	8.4	8.482	8.296	8.378	115191	EUR	
16/09/2022 00:00	8.3	8.34	8.068	8.114	304046	EUR	
19/09/2022 00:00	6.998	7.378	6.53	6.532	1168305	EUR	
20/09/2022 00:00	6.46	6.778	5.84	6.72	1649777	EUR	
21/09/2022 00:00	6.514	6.61	6.15	6.384	538206	EUR	
22/09/2022 00:00	6.08	6.25	5.958	5.98	528520	EUR	
23/09/2022 00:00	5.84	5.856	5.63	5.678	835944	EUR	
26/09/2022 00:00	5.5	6.036	5.468	5.74	708988	EUR	
27/09/2022 00:00	5.754	5.898	5.628	5.702	259637	EUR	
28/09/2022 00:00	5.79	5.79	5.516	5.78	236956	EUR	
29/09/2022 00:00	5.47	5.47	4.95	5.1	1205855	EUR	
30/09/2022 00:00	5.12	5.29	5.03	5.22	1307072	EUR	
03/10/2022 00:00	5.25	5.38	4.97	5.316	912668	EUR	
04/10/2022 00:00	5.398	5.76	5.338	5.76	1568063	EUR	
05/10/2022 00:00	5.85	5.99	5.54	5.712	667897	EUR	
06/10/2022 00:00	5.562	5.812	5.562	5.8	279193	EUR	
07/10/2022 00:00	5.84	6.328	5.776	6	826629	EUR	
10/10/2022 00:00	6.29	6.29	5.95	6.096	667125	EUR	
11/10/2022 00:00	6.03	6.126	5.918	6.12	338220	EUR	
12/10/2022 00:00	6.084	6.28	6.05	6.17	372807	EUR	
13/10/2022 00:00	6.13	6.318	6.05	6.314	322061	EUR	
14/10/2022 00:00	6.384	6.436	6.262	6.284	265566	EUR	
17/10/2022 00:00	6.35	6.74	6.32	6.69	355149	EUR	
18/10/2022 00:00	6.92	7.044	6.522	6.534	483344	EUR	
19/10/2022 00:00	6.688	6.692	6.206	6.236	360019	EUR	
20/10/2022 00:00	6.2	6.4	5.984	6.342	248891	EUR	
21/10/2022 00:00	6.254	6.45	6.2	6.372	160858	EUR	
24/10/2022 00:00	6.39	6.666	6.322	6.644	373671	EUR	
25/10/2022 00:00	6.674	6.686	6.34	6.566	255457	EUR	
26/10/2022 00:00	6.568	6.864	6.456	6.754	483250	EUR	
27/10/2022 00:00	6.858	6.858	6.64	6.652	146251	EUR	
28/10/2022 00:00	6.61	6.76	6.52	6.7	157351	EUR	
31/10/2022 00:00	6.658	6.908	6.61	6.846	208962	EUR	
01/11/2022 00:00	6.92	7.11	6.884	7.088	258917	EUR	
02/11/2022 00:00	7.08	7.08	6.76	6.932	271746	EUR	
03/11/2022 00:00	6.9	6.938	6.674	6.838	169905	EUR	
04/11/2022 00:00	6.752	6.96	6.658	6.71	218100	EUR	
07/11/2022 00:00	6.6	6.824	6.498	6.806	169833	EUR	
08/11/2022 00:00	6.746	6.81	6.63	6.778	143522	EUR	
09/11/2022 00:00	6.658	6.722	6.558	6.65	191853	EUR	
10/11/2022 00:00	6.796	7.146	6.762	6.994	701578	EUR	
11/11/2022 00:00	6.99	7.074	6.762	7.01	294926	EUR	
14/11/2022 00:00	7.122	7.222	7.004	7.004	281103	EUR	
15/11/2022 00:00	7.062	7.072	6.79	7.072	289752	EUR	
16/11/2022 00:00	7.03	7.03	6.83	6.89	190163	EUR	
17/11/2022 00:00	6.888	6.998	6.73	6.794	171391	EUR	
18/11/2022 00:00	6.888	7.05	6.642	7.01	385297	EUR	
21/11/2022 00:00	6.92	7.06	6.71	6.804	352050	EUR	
22/11/2022 00:00	6.738	6.78	6.584	6.604	306091	EUR	
23/11/2022 00:00	6.52	6.668	6.486	6.6	354678	EUR	
24/11/2022 00:00	6.62	6.83	6.58	6.748	139403	EUR	
