Date Time;Seconds;Milli-seconds;SD free space in MB;Loop time ms;Working time ms;Free memory in bytes;Current state;Controller power;Serial and Ble buffer;RGB device;Button Mode (Pin 19);Button Power (Pin 18);Throttle (Pin 55) level in %;Altitude AL m;Altitude SL m;Pressure hPa;Temperature °C;vertical speed m/s;acc X (g);acc Y (g);acc Z (g);gyr X (d/s);gyr Y (d/s);gyr Z (d/s);mag X (mG);mag Y (mG);mag Z (mG);Euler roll (deg);Euler pitch (deg);Euler yaw (deg);quat0;quatI;quatJ;quatK;Engine levelOut/1024;Engine mode;Tuning pid altitude ?;Pid target altitude;0-0;0-1;0-2;0-3;0-4;0-5;0-6;0-7;1-0;1-1;1-2;1-3;1-4;1-5;1-6;1-7;2-0;2-1;2-2;2-3;2-4;2-5;2-6;2-7;3-0;3-1;3-2;3-3;3-4;3-5;3-6;3-7;4-0;4-1;4-2;4-3;4-4;4-5;4-6;4-7;battery V;battery A;revolutions (rpm);controller Temp °C;motor Temp °C;battery Temp °C;requested Output Pwm %;real Output Pwm %;remaining Battery Capacity %;remaining Battery Capacity From Can %;Warnings;Failures;Messages received;Messages sent;
2021-08-31 17:18:25;9;9212;mainAutomat_loop;Current state : Stand by
2021-08-31 17:18:25;9;9367;1190264505;0;0;-1624;Stand by;OFF;;Off;Off;Off;0;0.60;180.30;1001.81;33.55;1.20;0.61;-1.70;0.31;-12.82;0.37;8.97;220.42;38.10;-507.93;-37.92;-34.54;-20.13;0.87;-0.35;-0.22;-0.25;0;Off;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;
2021-08-31 17:18:25;9;9457;1190264505;0;0;-1624;Stand by;OFF;;Off;Off;Off;0;0.70;180.40;1001.81;33.55;1.20;0.61;-1.70;0.32;-17.70;-2.69;9.34;227.81;32.16;-520.44;-30.20;-42.01;-24.30;0.86;-0.31;-0.29;-0.28;0;Off;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;
2021-08-31 17:18:25;9;9581;1190264505;0;0;-1624;Stand by;OFF;;Off;Off;Off;0;0.70;180.40;1001.80;33.56;1.20;0.60;-1.70;0.33;-11.05;-5.74;8.00;220.42;41.06;-512.10;-22.02;-46.27;-29.25;0.85;-0.27;-0.33;-0.30;0;Off;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;
2021-08-31 17:18:25;9;9706;1190264505;0;0;-1624;Stand by;OFF;;Off;Off;Off;0;0.70;180.40;1001.80;33.58;0.20;0.62;-1.70;0.33;-12.51;-7.02;9.22;218.57;39.58;-522.53;-11.79;-49.67;-36.44;0.84;-0.22;-0.37;-0.32;0;Off;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;
2021-08-31 17:18:25;9;9831;1190264505;0;0;-1624;Stand by;OFF;;Off;Off;Off;0;0.70;180.40;1001.80;33.60;0.20;0.61;-1.70;0.33;-7.02;-2.01;7.20;216.72;35.13;-503.76;0.61;-52.33;-44.93;0.83;-0.16;-0.41;-0.34;0;Off;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;
2021-08-31 17:18:25;9;9956;1190264505;0;0;-1624;Stand by;OFF;;Off;Off;Off;0;0.70;180.40;1001.80;33.62;0.20;0.60;-1.70;0.35;-6.47;-9.52;10.25;233.35;42.55;-497.50;14.64;-52.43;-55.04;0.82;-0.10;-0.44;-0.36;0;Off;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;
2021-08-31 17:18:26;10;10081;1190264505;0;0;-1624;Stand by;OFF;;Off;Off;Off;0;0.70;180.40;1001.80;33.63;0.20;0.61;-1.69;0.32;-7.69;-7.75;6.29;233.35;36.61;-505.84;27.72;-51.06;-64.12;0.80;-0.04;-0.47;-0.38;0;Off;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;
2021-08-31 17:18:26;10;10206;1190264505;0;0;-1624;Stand by;OFF;;Off;Off;Off;0;0.70;180.40;1001.80;33.64;0.00;0.61;-1.69;0.32;-10.38;-7.87;9.40;227.81;41.06;-520.44;39.61;-48.06;-72.35;0.78;0.02;-0.49;-0.40;0;Off;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;
2021-08-31 17:18:26;10;10331;1190264505;0;0;-1624;Stand by;OFF;;Off;Off;Off;0;0.70;180.40;1001.80;33.65;0.00;0.60;-1.70;0.33;-12.33;1.04;10.44;218.57;45.52;-522.53;50.44;-44.65;-79.93;0.75;0.08;-0.52;-0.41;0;Off;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;
